Company   , Industry     , Laid_Off, Date            , Location     , Revenue_Million
DataWorks , Retail       , None    , 09-01-2024      , Boston       , None
BetaSoft  , Finance      , thirty  , 26-02-2024      , SF           , 206.2
TechNova  , Retail       , twenty  , 28-04-2024      , San Francisco, None
Gamma LLC , Manufacturing, None    , 23-02-2024      , San Francisco, None
NextGen   , IT           , None    , April 19 2024   , New York     , None
DataWorks , Retail       , None    , 15-02-2024      , San Francisco, None
OmegaCorp , Healthcare   , 138     , 07-02-2024      , new york     , None
Alpha Inc., Retail       , thirty  , 10-04-2024      , NYC          , 274.8
OmegaCorp , Manufacturing, 183     , 26-05-2024      , new york     , None
InnoSoft  , Retail       , thirty  , 05-04-2024      , SF           , None
CloudNine , Retail       , None    , 22-01-2024      , Boston       , None
NextGen   , IT           , 56      , May 01 2024     , new york     , 25.5
Gamma LLC , Finance      , None    , 2024.01.29      , SF           , 262.8
NextGen   , Manufacturing, thirty  , 23-01-2024      , San Francisco, None
CloudNine , Manufacturing, 172     , 28-04-2024      , Austin       , None
NextGen   , Finance      , twenty  , 26-02-2024      , Boston       , 485.5
TechNova  , Finance      , thirty  , 02-04-2024      , NYC          , None
Gamma LLC , Healthcare   , 17      , 2024.05.02      , Boston       , None
CloudNine , Retail       , twenty  , 28-01-2024      , Chicago      , None
Alpha Inc., Manufacturing, thirty  , 11-01-2024      , Boston       , None
BetaSoft  , Manufacturing, None    , 04-02-2024      , Chicago      , 344.9
NextGen   , Healthcare   , None    , 2024.01.04      , SF           , 486.3
OmegaCorp , Healthcare   , 155     , 26-01-2024      , SF           , None
BetaSoft  , IT           , twenty  , 17-01-2024      , San Fran     , None
Alpha Inc., Healthcare   , None    , March 16 2024   , San Francisco, None
CloudNine , Retail       , 193     , 30-05-2024      , Chicago      , None
BetaSoft  , Manufacturing, thirty  , 26-05-2024      , San Fran     , None
NextGen   , Finance      , thirty  , April 04 2024   , Austin       , 362.2
OmegaCorp , Manufacturing, None    , 15-02-2024      , San Fran     , 134.3
DataWorks , Manufacturing, None    , 03-03-2024      , Chicago      , None
InnoSoft  , Finance      , None    , May 06 2024     , Boston       , None
DataWorks , Healthcare   , thirty  , 17-05-2024      , San Francisco, None
Alpha Inc., Healthcare   , 72      , 2024.04.10      , Boston       , 262.2
TechNova  , Finance      , twenty  , 10-04-2024      , Chicago      , None
NextGen   , Finance      , None    , 09-03-2024      , Boston       , None
Alpha Inc., Healthcare   , twenty  , 2024.01.13      , Austin       , 447.4
Gamma LLC , Manufacturing, None    , May 20 2024     , SF           , 132.7
Alpha Inc., Retail       , thirty  , 19-02-2024      , NYC          , None
InnoSoft  , Healthcare   , twenty  , 18-05-2024      , San Francisco, None
NextGen   , Retail       , None    , 23-01-2024      , SF           , None
FutureTek , Retail       , thirty  , 08-03-2024      , new york     , None
BetaSoft  , Finance      , None    , 13-03-2024      , Boston       , None
FutureTek , Retail       , thirty  , 03-04-2024      , San Fran     , None
InnoSoft  , Healthcare   , thirty  , 22-02-2024      , NYC          , 493
Gamma LLC , Finance      , thirty  , 27-05-2024      , Chicago      , 185.9
BetaSoft  , Retail       , None    , 10-01-2024      , San Fran     , None
NextGen   , Healthcare   , thirty  , 22-03-2024      , San Fran     , 269.2
TechNova  , Manufacturing, thirty  , 21-02-2024      , new york     , None
InnoSoft  , Retail       , thirty  , 26-02-2024      , San Fran     , None
FutureTek , Finance      , thirty  , 10-02-2024      , Boston       , 221.1
CloudNine , IT           , twenty  , 24-02-2024      , NYC          , None
CloudNine , Finance      , thirty  , May 23 2024     , Boston       , 364
NextGen   , Manufacturing, 116     , May 24 2024     , Chicago      , None
TechNova  , Healthcare   , None    , 2024.01.09      , NYC          , 191.5
OmegaCorp , IT           , twenty  , 25-02-2024      , New York     , None
DataWorks , Healthcare   , None    , 02-01-2024      , NYC          , None
Gamma LLC , IT           , None    , 28-04-2024      , Boston       , None
TechNova  , Finance      , 199     , March 24 2024   , Boston       , None
BetaSoft  , Retail       , 139     , May 28 2024     , Chicago      , None
TechNova  , IT           , None    , 22-01-2024      , New York     , None
FutureTek , Finance      , twenty  , 05-05-2024      , New York     , None
Gamma LLC , Healthcare   , None    , 2024.02.17      , Chicago      , None
CloudNine , Finance      , twenty  , April 23 2024   , Chicago      , None
BetaSoft  , Healthcare   , None    , May 01 2024     , San Fran     , 362
NextGen   , Finance      , thirty  , 2024.04.29      , new york     , 138.2
TechNova  , IT           , None    , 01-01-2024      , Austin       , 416.9
Alpha Inc., Manufacturing, thirty  , 27-04-2024      , San Fran     , None
OmegaCorp , Finance      , 37      , 18-01-2024      , SF           , None
CloudNine , Retail       , twenty  , 05-04-2024      , Seattle      , None
NextGen   , Manufacturing, thirty  , 2024.01.28      , SF           , None
DataWorks , Retail       , 125     , 20-02-2024      , San Fran     , None
OmegaCorp , Healthcare   , twenty  , 19-03-2024      , Austin       , None
TechNova  , Finance      , twenty  , 26-03-2024      , Austin       , 72.5
TechNova  , Healthcare   , None    , 06-04-2024      , SF           , 267.7
BetaSoft  , Finance      , None    , 06-05-2024      , Chicago      , None
NextGen   , Retail       , None    , 18-02-2024      , Seattle      , None
InnoSoft  , Manufacturing, twenty  , March 12 2024   , SF           , 161.8
CloudNine , Healthcare   , twenty  , 2024.01.29      , Austin       , None
TechNova  , Retail       , thirty  , 2024.05.10      , Seattle      , None
OmegaCorp , Retail       , thirty  , 2024.02.23      , NYC          , None
CloudNine , Manufacturing, thirty  , 12-01-2024      , San Francisco, None
OmegaCorp , Manufacturing, 97      , 29-02-2024      , San Fran     , 269.6
OmegaCorp , Healthcare   , None    , 13-03-2024      , New York     , None
InnoSoft  , Manufacturing, None    , 10-03-2024      , Austin       , 108.4
InnoSoft  , IT           , None    , April 28 2024   , NYC          , None
Alpha Inc., Healthcare   , twenty  , 17-01-2024      , SF           , None
Alpha Inc., IT           , 28      , 24-02-2024      , Seattle      , None
InnoSoft  , Healthcare   , None    , 02-01-2024      , Boston       , None
TechNova  , Retail       , thirty  , 09-05-2024      , Boston       , None
DataWorks , Healthcare   , 146     , February 14 2024, Boston       , None
Gamma LLC , IT           , None    , 26-02-2024      , SF           , 158.3
BetaSoft  , Healthcare   , None    , 24-05-2024      , Austin       , None
CloudNine , Manufacturing, None    , 13-02-2024      , Boston       , 360.6
InnoSoft  , Manufacturing, None    , March 18 2024   , San Francisco, None
NextGen   , IT           , None    , 10-05-2024      , SF           , None
NextGen   , Healthcare   , None    , 09-04-2024      , Seattle      , None
DataWorks , IT           , None    , 2024.05.06      , Seattle      , None
TechNova  , Retail       , None    , March 01 2024   , new york     , 297.1
Alpha Inc., Manufacturing, None    , 15-01-2024      , Austin       , None
InnoSoft  , Healthcare   , thirty  , 11-04-2024      , SF           , None
Gamma LLC , Finance      , None    , May 30 2024     , NYC          , None
InnoSoft  , Retail       , None    , 29-02-2024      , Austin       , 26.7
BetaSoft  , IT           , None    , 18-04-2024      , Seattle      , None
CloudNine , Manufacturing, thirty  , 07-01-2024      , Chicago      , None
InnoSoft  , Finance      , thirty  , 01-05-2024      , Boston       , 263
OmegaCorp , Finance      , None    , 02-02-2024      , Austin       , 104.3
OmegaCorp , Finance      , twenty  , 18-05-2024      , SF           , 264.8
NextGen   , IT           , None    , 01-03-2024      , San Fran     , None
BetaSoft  , Retail       , thirty  , 04-03-2024      , New York     , 79.4
BetaSoft  , Retail       , 95      , 18-04-2024      , NYC          , 94.9
Gamma LLC , Healthcare   , twenty  , 07-04-2024      , San Fran     , None
BetaSoft  , Retail       , thirty  , 28-02-2024      , San Francisco, None
BetaSoft  , Manufacturing, None    , 22-02-2024      , Chicago      , None
OmegaCorp , Finance      , None    , 01-02-2024      , Seattle      , None
CloudNine , Manufacturing, thirty  , 19-01-2024      , Seattle      , 198.2
BetaSoft  , Healthcare   , twenty  , 20-01-2024      , Boston       , 17
CloudNine , Finance      , None    , 14-01-2024      , New York     , None
TechNova  , IT           , None    , 03-03-2024      , Seattle      , 489.5
TechNova  , Finance      , twenty  , 06-03-2024      , San Fran     , None
FutureTek , Healthcare   , None    , 2024.01.28      , San Francisco, None
DataWorks , Retail       , thirty  , 2024.04.25      , San Francisco, None
FutureTek , Finance      , thirty  , April 29 2024   , SF           , 84.7
Gamma LLC , IT           , twenty  , 16-04-2024      , SF           , 298.2
InnoSoft  , Healthcare   , 170     , 30-05-2024      , SF           , None
FutureTek , IT           , 133     , April 10 2024   , SF           , None
InnoSoft  , Retail       , thirty  , 10-05-2024      , New York     , 373.9
NextGen   , Finance      , 176     , 05-03-2024      , Boston       , None
OmegaCorp , IT           , 56      , 26-01-2024      , Boston       , None
FutureTek , Healthcare   , thirty  , 23-03-2024      , San Francisco, 142.1
TechNova  , IT           , thirty  , 01-03-2024      , Boston       , None
FutureTek , Retail       , twenty  , 26-02-2024      , Seattle      , None
CloudNine , Healthcare   , None    , March 16 2024   , New York     , 143.5
FutureTek , IT           , None    , 26-03-2024      , Austin       , 92.6
BetaSoft  , Retail       , None    , 18-05-2024      , SF           , 61
InnoSoft  , Manufacturing, None    , 21-01-2024      , SF           , None
TechNova  , Retail       , thirty  , 12-01-2024      , Chicago      , 57.1
FutureTek , Retail       , twenty  , 18-02-2024      , New York     , 307
BetaSoft  , Retail       , thirty  , 15-03-2024      , Austin       , None
CloudNine , Manufacturing, thirty  , 01-04-2024      , NYC          , 420.8
NextGen   , Finance      , None    , 15-04-2024      , San Francisco, None
OmegaCorp , Finance      , 50      , 27-01-2024      , New York     , 64.8
InnoSoft  , Finance      , thirty  , 2024.01.22      , New York     , 59.5
FutureTek , Retail       , twenty  , 21-04-2024      , SF           , None
InnoSoft  , Retail       , twenty  , 10-01-2024      , Austin       , None
Gamma LLC , Retail       , None    , 07-05-2024      , San Francisco, 444.5
BetaSoft  , Finance      , None    , 2024.03.28      , new york     , None
OmegaCorp , Manufacturing, None    , 17-02-2024      , San Francisco, None
FutureTek , Manufacturing, 26      , 07-02-2024      , New York     , None
InnoSoft  , Healthcare   , 52      , 06-03-2024      , Chicago      , None
DataWorks , Healthcare   , twenty  , 31-01-2024      , SF           , None
DataWorks , Healthcare   , twenty  , 2024.05.15      , Chicago      , 65.5
OmegaCorp , Healthcare   , twenty  , 28-02-2024      , Austin       , 289.2
BetaSoft  , IT           , twenty  , 12-01-2024      , San Francisco, 107.7
OmegaCorp , Finance      , None    , 26-01-2024      , Seattle      , 186.8
BetaSoft  , IT           , thirty  , 24-03-2024      , Seattle      , None
TechNova  , Retail       , None    , 28-05-2024      , San Fran     , 101.7
DataWorks , Finance      , None    , April 06 2024   , Seattle      , None
InnoSoft  , Finance      , twenty  , February 09 2024, San Fran     , 326
FutureTek , Manufacturing, 99      , May 16 2024     , NYC          , 236.5
FutureTek , Healthcare   , None    , 14-02-2024      , San Francisco, None
BetaSoft  , IT           , thirty  , 2024.05.10      , New York     , 460.1
Gamma LLC , Manufacturing, twenty  , 21-04-2024      , Chicago      , 479.5
Gamma LLC , Healthcare   , twenty  , 26-03-2024      , San Francisco, None
OmegaCorp , Manufacturing, None    , 10-02-2024      , New York     , None
InnoSoft  , Healthcare   , None    , 06-05-2024      , Austin       , None
BetaSoft  , IT           , None    , 2024.03.08      , Seattle      , None
BetaSoft  , IT           , None    , 18-01-2024      , Austin       , None
Gamma LLC , Retail       , None    , 30-05-2024      , San Francisco, None
DataWorks , Finance      , None    , 2024.03.02      , San Francisco, None
NextGen   , Retail       , thirty  , 06-02-2024      , SF           , 418.7
OmegaCorp , IT           , 71      , 10-01-2024      , new york     , None
InnoSoft  , Manufacturing, 37      , 2024.03.19      , SF           , None
Gamma LLC , Manufacturing, None    , 29-01-2024      , Austin       , 142
FutureTek , Retail       , None    , 25-05-2024      , NYC          , None
TechNova  , Manufacturing, None    , 31-01-2024      , San Fran     , None
TechNova  , Retail       , 60      , 06-03-2024      , Boston       , None
TechNova  , Manufacturing, None    , February 12 2024, New York     , None
OmegaCorp , Healthcare   , thirty  , 12-05-2024      , SF           , None
Alpha Inc., Finance      , None    , 25-05-2024      , New York     , None
InnoSoft  , Healthcare   , thirty  , January 31 2024 , Boston       , None
OmegaCorp , Healthcare   , None    , 03-04-2024      , NYC          , None
InnoSoft  , Manufacturing, None    , February 17 2024, NYC          , None
Alpha Inc., Healthcare   , 29      , 2024.01.19      , new york     , None
BetaSoft  , IT           , None    , 05-04-2024      , Austin       , None
DataWorks , Finance      , None    , 26-03-2024      , San Fran     , None
FutureTek , Finance      , None    , 10-01-2024      , Boston       , None
InnoSoft  , Finance      , None    , 03-01-2024      , Austin       , None
